A CornerPermutation	A CornerOrientation	A EdgePermutation	A EdgeOrientation	B CornerPermutation	B CornerOrientation	B EdgePermutation	B EdgeOrientation	Result CornerPermutation	Result CornerOrientation	Result EdgePermutation	Result EdgeOrientation
UFL,DRB,URF,DLF,DBL,DFR,UBR,ULB	2,2,1,2,2,2,2,2	UB,BL,UR,DL,UL,DB,UF,DR,FL,BR,DF,FR	0,1,0,0,0,1,0,1,1,0,0,0	UBR,DFR,URF,DRB,DLF,ULB,UFL,DBL	0,2,0,1,1,1,2,2	BR,DL,BL,DR,UR,DF,UL,UF,FL,UB,DB,FR	0,0,1,1,1,1,1,1,0,1,0,1	DLF,DBL,UFL,ULB,DFR,URF,DRB,UBR	2,1,2,0,0,2,1,1	FR,UF,DF,UL,UB,DB,UR,BL,BR,DL,DR,FL	0,0,1,1,1,0,1,0,0,1,1,0	
DBL,DFR,ULB,URF,UBR,UFL,DLF,DRB	2,0,0,2,2,1,0,2	DL,BR,FL,DR,FR,UB,BL,UL,DB,UR,UF,DF	1,1,0,0,1,1,1,0,0,1,1,1	DFR,DRB,DBL,UBR,URF,DLF,ULB,UFL	2,2,2,0,2,0,0,1	UR,DL,BL,UF,FR,BR,UB,UL,FL,DF,DR,DB	1,0,1,0,1,1,1,0,1,0,0,0	UBR,DRB,DLF,URF,DBL,UFL,ULB,DFR	1,1,2,2,1,1,0,1	DL,BL,UF,BR,DB,DF,DR,FL,UR,UB,FR,UL	0,1,0,1,1,0,1,0,0,1,1,0	
DRB,URF,DBL,ULB,UFL,DFR,UBR,DLF	1,2,1,2,2,0,1,0	UR,DL,FL,DR,FR,UB,DF,DB,BL,UL,BR,UF	1,1,1,1,1,0,0,1,0,0,0,0	UBR,ULB,DFR,DRB,DBL,URF,UFL,DLF	1,2,2,2,1,2,0,2	DB,UR,UB,UL,DF,DR,DL,FL,FR,UF,BR,BL	0,1,1,0,1,1,0,1,1,1,1,0	ULB,DBL,UFL,DLF,UBR,DRB,URF,DFR	0,0,1,2,2,0,2,2	DB,UR,DR,FL,UB,FR,DF,UL,BL,DL,UF,BR	1,0,0,1,1,0,0,1,1,0,1,0	
DLF,URF,UFL,ULB,DFR,DBL,DRB,UBR	1,1,0,0,2,1,1,0	UL,FL,BL,UB,DB,DR,UF,UR,DL,DF,BR,FR	1,1,1,0,0,0,1,0,1,1,0,0	ULB,URF,DBL,UBR,DLF,DRB,UFL,DFR	1,0,1,1,1,0,0,2	BR,BL,DF,DL,UR,FR,UF,FL,UB,UL,DR,DB	0,0,0,1,0,1,1,1,0,1,1,0	UFL,DLF,DRB,ULB,DBL,UBR,URF,DFR	1,1,2,1,2,0,1,1	FR,BR,DR,UF,UL,DL,FL,DF,UB,BL,DB,UR	0,0,0,0,1,0,0,0,0,0,1,0	
DLF,ULB,DBL,UBR,UFL,DRB,DFR,URF	2,1,1,1,0,1,0,0	UB,DF,UF,UR,DL,BL,BR,DB,UL,FL,FR,DR	0,0,1,1,0,0,0,0,0,1,0,1	DBL,DRB,DLF,UBR,URF,ULB,DFR,UFL	1,1,1,1,0,0,2,0	BR,UB,UL,DB,FR,UR,FL,UF,DR,BL,DF,DL	0,1,0,0,1,1,0,1,1,1,0,0	DFR,URF,DRB,UBR,DLF,DBL,UFL,ULB	1,1,2,2,2,1,2,1	DR,UR,UF,DB,UL,UB,FL,DF,DL,FR,BL,BR	1,0,1,0,1,1,1,1,1,1,0,0	
URF,DFR,UFL,UBR,DLF,ULB,DRB,DBL	2,2,2,1,2,2,1,0	BL,BR,DL,UB,UL,DB,FR,UF,UR,DF,FL,DR	1,0,0,1,0,1,0,1,0,0,0,0	UBR,DBL,URF,DRB,DFR,ULB,DLF,UFL	1,1,1,1,2,2,0,1	BL,FR,DR,UB,DF,UL,UR,DB,FL,BR,UF,DL	1,0,0,1,0,1,0,1,0,0,0,0	UBR,DRB,URF,DBL,DLF,UFL,ULB,DFR	2,2,0,1,1,1,2,0	FL,UR,UL,UB,DB,DL,BL,UF,DF,DR,BR,FR	1,0,0,0,1,1,1,0,0,0,0,0	
DLF,URF,DFR,UBR,DBL,DRB,UFL,ULB	2,1,2,2,1,0,2,2	DL,UF,UL,BL,UR,BR,DR,FL,FR,DF,UB,DB	1,1,0,1,1,0,1,1,0,0,1,1	URF,DRB,ULB,DBL,UBR,DFR,DLF,UFL	0,2,2,2,0,2,2,2	BR,DB,DR,UL,UR,UB,DF,UF,DL,BL,FR,FL	1,0,0,1,1,0,1,1,0,0,1,0	DLF,ULB,DFR,UFL,UBR,DBL,DRB,URF	2,1,1,1,2,0,2,0	DB,FL,UR,UL,DL,BL,BR,UF,DR,UB,FR,DF	0,1,1,1,0,1,1,0,1,1,1,0	
DBL,DRB,UBR,UFL,DFR,URF,DLF,ULB	1,1,0,1,0,1,2,0	DR,DF,DL,UB,UF,FL,DB,BR,UR,BL,FR,UL	1,0,1,1,0,1,1,0,0,1,0,0	DLF,DBL,ULB,DFR,UBR,URF,DRB,UFL	0,1,2,2,1,0,0,0	BL,UR,DL,DF,DR,DB,BR,UB,UF,UL,FR,FL	0,1,0,1,1,1,1,1,1,1,0,0	URF,DLF,UBR,DFR,UFL,DBL,ULB,DRB	1,0,2,2,2,1,0,1	FR,DR,DB,FL,UF,BR,UL,UB,DF,DL,UR,BL	0,0,1,0,1,1,1,0,1,0,0,1	
DFR,ULB,UBR,DLF,DRB,UFL,URF,DBL	2,2,0,2,2,2,1,1	DB,BR,FL,DL,UB,UR,BL,FR,UL,DR,DF,UF	1,1,0,0,0,1,1,0,0,0,0,0	ULB,DRB,DLF,UBR,URF,DFR,UFL,DBL	1,1,1,0,2,0,2,2	UB,BR,DB,BL,FR,FL,DF,UF,DL,UL,DR,UR	1,1,0,0,1,1,1,0,0,1,0,0	UBR,DBL,UFL,DLF,DFR,DRB,ULB,URF	1,2,0,2,1,2,1,0	DL,UF,FR,DF,UL,DR,UR,BR,BL,FL,UB,DB	1,1,0,0,1,1,0,1,1,1,0,1	
ULB,DFR,URF,DBL,DLF,UBR,UFL,DRB	1,0,0,2,1,2,1,2	BR,DB,UL,UR,DF,BL,UF,FR,FL,DL,UB,DR	0,0,1,1,1,0,0,1,0,1,0,1	DRB,ULB,URF,DBL,UBR,DFR,DLF,UFL	1,1,0,2,1,1,0,0	DR,DB,FR,DL,DF,BR,UB,BL,UF,FL,UL,UR	1,0,0,1,0,0,0,1,0,1,0,0	DRB,URF,ULB,UFL,DBL,DLF,UBR,DFR	0,1,1,0,0,2,2,0	DF,FR,FL,UF,BL,DR,UR,UB,DB,DL,UL,BR	0,1,0,1,0,1,1,1,0,0,1,0	
DBL,UFL,UBR,DRB,DLF,ULB,DFR,URF	0,1,2,1,1,2,1,1	UL,UB,DB,DL,BR,DR,FR,UF,DF,UR,BL,FL	0,0,0,1,1,0,1,0,1,1,0,1	UFL,DBL,DFR,ULB,DRB,DLF,UBR,URF	2,1,0,1,0,1,1,0	FR,UF,BL,UB,UL,BR,DF,UR,DL,DR,FL,DB	0,1,0,0,0,0,0,1,1,0,1,0	UFL,DFR,DLF,UBR,URF,ULB,DRB,DBL	0,2,1,0,1,0,2,0	DF,UB,BL,DL,DB,FL,DR,UL,FR,BR,UR,UF	1,1,0,1,0,1,0,1,0,1,0,0	
